time;direction;DLC;;id
0.003006;Rx;8;01 01 00 00 00 03 00 00;275
0.008222;Rx;8;25 03 1C 00 00 00 00 44;258
0.008461;Rx;8;FF FF 2C 04 5A 00 00 88;259
0.008709;Rx;8;B2 20 00 00 00 00 00 D2;260
0.008957;Rx;8;10 27 00 00 00 00 00 37;261
0.009247;Rx;8;00 03 E7 03 28 00 C0 0F;417333248x
0.009533;Rx;8;03 20 00 01 01 00 50 01;417333504x
0.012981;Rx;8;05 05 03 03 01 00 03 03;789
0.028294;Rx;8;25 03 1C 00 00 00 00 44;258
0.028532;Rx;8;FF FF 2C 04 5A 00 00 88;259
0.028780;Rx;8;B2 20 00 00 00 00 00 D2;260
0.029029;Rx;8;10 27 00 00 00 00 00 37;261
0.029317;Rx;8;00 03 E7 03 28 00 C2 0F;417333248x
0.029603;Rx;8;03 20 00 01 01 00 50 01;417333504x
0.041917;Rx;8;00 5A 00 C5 03 00 00 54;545
0.048337;Rx;8;25 03 1C 00 00 00 00 44;258
0.048575;Rx;8;FF FF 2C 04 5A 00 00 88;259
0.048823;Rx;8;B2 20 00 00 00 00 00 D2;260
0.049071;Rx;8;10 27 00 00 00 00 00 37;261
0.049362;Rx;8;00 03 E7 03 19 00 C0 0F;417333248x
0.049648;Rx;8;03 20 00 01 01 00 50 01;417333504x
0.068371;Rx;8;25 03 1C 00 00 00 00 44;258
0.068609;Rx;8;FF FF 2C 04 5A 00 00 88;259
0.068857;Rx;8;B2 20 00 00 00 00 00 D2;260
0.069105;Rx;8;10 27 00 00 00 00 00 37;261
0.069394;Rx;8;00 03 E7 03 28 00 C2 0F;417333248x
0.069680;Rx;8;03 20 00 01 01 00 50 01;417333504x
0.083991;Rx;8;02 00 00 00 50 00 CB 02;785
0.087726;Rx;8;E1 FF 39 39 39 3B 41 FF;516
0.087962;Rx;8;C5 0F 12 AE 0F 05 00 00;517
0.088208;Rx;8;38 01 37 02 00 00 00 00;518
0.093316;Rx;8;25 03 1C 00 00 00 00 44;258
0.093554;Rx;8;FF FF 2C 04 5A 00 00 88;259
0.093803;Rx;8;B2 20 00 00 00 00 00 D2;260
0.094051;Rx;8;10 27 00 00 00 00 00 37;261
0.094295;Rx;8;00 00 3C 37 00 00 00 00;274
0.094585;Rx;8;00 03 E7 03 28 00 C0 0F;417333248x
0.094871;Rx;8;03 20 00 01 01 00 50 01;417333504x
0.103989;Rx;8;01 01 00 00 00 03 00 00;275
0.108453;Rx;8;25 03 1C 00 00 00 00 44;258
