time;direction;DLC;;id
0.257894;Rx;8;00 00 00 00 00 00 00 00;259
0.258143;Rx;8;B2 20 00 00 00 00 00 D2;260
0.258391;Rx;8;10 27 00 00 00 00 00 37;261
0.258671;Rx;8;00 07 E7 03 6D 10 C5 0F;417333248x
0.258957;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.265913;Rx;8;00 00 00 00 02 00 00 02;18
0.277698;Rx;8;25 03 00 00 00 00 00 28;258
0.277948;Rx;8;00 00 00 00 00 00 00 00;259
0.278196;Rx;8;B2 20 00 00 00 00 00 D2;260
0.278444;Rx;8;10 27 00 00 00 00 00 37;261
0.278728;Rx;8;00 07 E7 03 81 10 C5 0F;417333248x
0.279014;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.286910;Rx;8;00 00 00 00 02 00 00 02;18
0.297729;Rx;8;25 03 00 00 00 00 00 28;258
0.297979;Rx;8;00 00 00 00 00 00 00 00;259
0.298227;Rx;8;B2 20 00 00 00 00 00 D2;260
0.298476;Rx;8;10 27 00 00 00 00 00 37;261
0.298758;Rx;8;00 07 E7 03 90 10 C9 0F;417333248x
0.299044;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.309897;Rx;8;02 00 00 00 28 00 CB 02;785
0.317784;Rx;8;25 03 00 00 00 00 00 28;258
0.318034;Rx;8;00 00 00 00 00 00 00 00;259
0.318282;Rx;8;B2 20 00 00 00 00 00 D2;260
0.318531;Rx;8;10 27 00 00 00 00 00 37;261
0.318817;Rx;8;00 07 E7 03 A1 10 C2 0F;417333248x
0.319103;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.319905;Rx;8;00 00 3C 37 00 00 00 00;274
0.320909;Rx;8;00 00 00 00 02 00 00 02;18
0.329909;Rx;8;01 00 00 00 00 00 00 00;275
0.335791;Rx;8;03 03 01 02 00 00 00 00;771
0.336035;Rx;8;18 04 1C 00 00 16 02 00;770
0.336272;Rx;8;03 44 35 4E 30 30 30 30;772
0.337176;Rx;8;00 00 C8 00 00 00 07 CF;513
0.337424;Rx;8;08 01 00 00 00 00 00 09;514
0.337658;Rx;8;83 B6 8F EC 43 FB 14 3F;515
0.338824;Rx;8;25 03 00 00 00 00 00 28;258
0.339074;Rx;8;00 00 00 00 00 00 00 00;259
0.339322;Rx;8;B2 20 00 00 00 00 00 D2;260
0.339571;Rx;8;10 27 00 00 00 00 00 37;261
0.339851;Rx;8;00 07 E7 03 B3 10 C5 0F;417333248x
0.340137;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.341913;Rx;8;00 02 00 00 02 00 00 00;18
0.357884;Rx;8;25 03 00 00 00 00 00 28;258
0.358134;Rx;8;00 00 00 00 00 00 00 00;259
0.358382;Rx;8;B2 20 00 00 00 00 00 D2;260
0.358631;Rx;8;10 27 00 00 00 00 00 37;261
0.358917;Rx;8;00 07 E7 03 C5 10 C2 0F;417333248x
0.359203;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.362903;Rx;8;00 02 00 00 02 00 00 00;18
0.377932;Rx;8;25 03 00 00 00 00 00 28;258
0.378182;Rx;8;00 00 00 00 00 00 00 00;259
0.378430;Rx;8;B2 20 00 00 00 00 00 D2;260
0.378678;Rx;8;10 27 00 00 00 00 00 37;261
0.378964;Rx;8;00 07 E7 03 D6 10 C2 0F;417333248x
0.379251;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.381909;Rx;8;02 00 00 00 00 00 00 00;792
0.383903;Rx;8;00 02 00 00 02 00 00 00;18
0.397982;Rx;8;25 03 00 00 00 00 00 28;258
0.398232;Rx;8;00 00 00 00 00 00 00 00;259
0.398480;Rx;8;B2 20 00 00 00 00 00 D2;260
0.398728;Rx;8;10 27 00 00 00 00 00 37;261
0.399012;Rx;8;00 07 E7 03 E3 10 C5 0F;417333248x
0.399298;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.404900;Rx;8;00 02 00 00 02 00 00 00;18
0.418043;Rx;8;25 03 00 00 00 00 00 28;258
0.418293;Rx;8;00 00 00 00 00 00 00 00;259
0.418542;Rx;8;B2 20 00 00 00 00 00 D2;260
0.418790;Rx;8;10 27 00 00 00 00 00 37;261
0.419080;Rx;8;00 07 E7 03 FC 10 C2 0F;417333248x
0.419366;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.423894;Rx;8;02 00 00 00 26 00 CB 02;785
0.433898;Rx;8;00 00 3C 37 00 00 00 00;274
0.435018;Rx;8;00 33 01 22 08 02 02 00;773
0.435256;Rx;8;00 33 01 22 08 03 01 01;774
0.435546;Rx;8;00 00 00 00 00 00 01 00;417333259x
0.437398;Rx;8;E1 FF 39 38 39 3B 40 FF;516
0.437638;Rx;8;C6 0F 12 B0 0F 05 00 00;517
0.437885;Rx;8;38 01 37 02 00 00 00 00;518
0.438901;Rx;8;00 02 00 00 02 00 00 00;18
0.443013;Rx;8;25 03 00 00 00 00 00 28;258
0.443263;Rx;8;00 00 00 00 00 00 00 00;259
0.443511;Rx;8;B2 20 00 00 00 00 00 D2;260
0.443759;Rx;8;10 27 00 00 00 00 00 37;261
0.444008;Rx;8;01 00 00 00 00 00 00 00;275
0.444294;Rx;8;00 07 E7 03 10 11 C2 0F;417333248x
0.444580;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.446892;Rx;8;05 05 03 03 01 00 03 03;789
0.458123;Rx;8;25 03 00 00 00 00 00 28;258
0.458373;Rx;8;00 00 00 00 00 00 00 00;259
0.458621;Rx;8;B2 20 00 00 00 00 00 D2;260
0.458869;Rx;8;10 27 00 00 00 00 00 37;261
